Accession	Description	Topology	Size (bp)	Phylum	Class	Order	Family	Genus	Species	Plasmid	Strain	Collection date	Country	REP types	MOB types	MPF types 	OriT types	Predicted Mobility
NC_012131.1	Borreliella valaisiana VS116 plasmid VS116_cp32-2-7, complete sequence	circular	27367	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_cp32-2-7	VS116	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012132.1	Borreliella spielmanii A14S plasmid A14S_cp26, complete sequence	circular	26217	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella spielmanii	A14S_cp26	A14S	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012133.1	Borreliella valaisiana VS116 plasmid VS116_cp32-10, complete sequence	circular	27732	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_cp32-10	VS116	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_012148.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_cp32-1, complete sequence	circular	30026	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_cp32-1	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012149.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_cp32-5, complete sequence	circular	29912	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_cp32-5	CA-11.2A	NA	NA	rep_cluster_1662	NA	NA	NA	Non-mobilizable
NC_012150.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_cp32-11, complete sequence	circular	30772	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_cp32-11	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012151.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_cp26, complete sequence	circular	26506	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_cp26	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012152.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_cp32-10, complete sequence	circular	30290	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_cp32-10	CA-11.2A	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_012153.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_cp32-5, complete sequence	circular	18338	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_cp32-5	WI91-23	NA	NA	rep_cluster_1662	NA	NA	NA	Non-mobilizable
NC_012154.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_cp32-3, complete sequence	circular	29762	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_cp32-3	CA-11.2A	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012155.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_cp9-3, complete sequence	circular	8706	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_cp9-3	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012156.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_cp32-13, complete sequence	circular	30088	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_cp32-13	CA-11.2A	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012157.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_cp26, complete sequence	circular	26511	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_cp26	CA-11.2A	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012158.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_cp32-1, complete sequence	circular	30408	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_cp32-1	CA-11.2A	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012159.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_cp32-10, complete sequence	circular	29756	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_cp32-10	WI91-23	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_012160.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_cp32-6, complete sequence	circular	30017	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_cp32-6	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012161.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_cp32-7, complete sequence	circular	30052	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_cp32-7	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012162.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_cp32-4, complete sequence	circular	13540	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_cp32-4	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012163.1	Borrelia burgdorferi 64b plasmid 64b_lp28-3, complete sequence	linear	28645	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_lp28-3	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012164.1	Borreliella spielmanii A14S plasmid A14S_lp54, complete sequence	linear	56055	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella spielmanii	A14S_lp54	A14S	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012165.1	Borrelia burgdorferi 64b plasmid 64b_lp28-4, complete sequence	linear	26992	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_lp28-4	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012166.1	Borreliella valaisiana VS116 plasmid VS116_lp25, complete sequence	linear	32795	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_lp25	VS116	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012167.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp38, complete sequence	linear	38893	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp38	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012168.1	Borrelia burgdorferi 64b plasmid 64b_lp28-1, complete sequence	linear	30663	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_lp28-1	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012169.1	Borreliella valaisiana VS116 plasmid VS116_lp28-8, complete sequence	linear	18022	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_lp28-8	VS116	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012170.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_lp38, complete sequence	linear	27775	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_lp38	CA-11.2A	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012171.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp28-3, complete sequence	linear	27543	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp28-3	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012172.1	Borrelia burgdorferi 72a plasmid 72a_lp28-4, complete sequence	linear	29630	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_lp28-4	72a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012173.1	Borreliella spielmanii A14S plasmid A14S_lp28-4, complete sequence	linear	30185	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella spielmanii	A14S_lp28-4	A14S	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012174.1	Borrelia burgdorferi 64b plasmid 64b_lp28-5, complete sequence	linear	26776	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_lp28-5	64b	NA	NA	rep_cluster_292	NA	NA	NA	Non-mobilizable
NC_012175.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp54, complete sequence	linear	53783	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp54	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012176.1	Borreliella spielmanii A14S plasmid A14S_lp38, complete sequence	linear	20932	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella spielmanii	A14S_lp38	A14S	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012177.1	Borreliella valaisiana VS116 plasmid VS116_lp54, complete sequence	linear	53953	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_lp54	VS116	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012178.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp25, complete sequence	linear	24661	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp25	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012179.1	Borrelia burgdorferi 64b plasmid 64b_lp17, complete sequence	linear	16600	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_lp17	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012180.1	Borreliella valaisiana VS116 plasmid VS116_lp17, complete sequence	linear	20024	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_lp17	VS116	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012181.1	Borreliella spielmanii A14S plasmid A14S_lp28-8, complete sequence	linear	24828	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella spielmanii	A14S_lp28-8	A14S	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012182.1	Borrelia burgdorferi 64b plasmid 64b_lp38, complete sequence	linear	39007	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_lp38	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012183.1	Borreliella spielmanii A14S plasmid A14S_lp28-3, complete sequence	linear	28035	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella spielmanii	A14S_lp28-3	A14S	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012184.1	Borrelia burgdorferi 64b plasmid 64b_lp36, complete sequence	linear	36826	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_lp36	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012185.1	Borreliella valaisiana VS116 plasmid VS116_lp28-3, complete sequence	linear	81995	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_lp28-3	VS116	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012186.1	Borrelia burgdorferi 72a plasmid 72a_lp36, complete sequence	linear	28128	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_lp36	72a	NA	NA	rep_cluster_292	NA	NA	NA	Non-mobilizable
NC_012187.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp28-4, complete sequence	linear	28237	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp28-4	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012188.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp17, complete sequence	linear	15386	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp17	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012189.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp36, complete sequence	linear	30134	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp36	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012190.1	Borreliella spielmanii A14S plasmid A14S_lp36, complete sequence	linear	29429	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella spielmanii	A14S_lp36	A14S	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012191.1	Borrelia burgdorferi 72a plasmid 72a_lp17, complete sequence	linear	18115	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_lp17	72a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012192.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp5, complete sequence	linear	5252	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp5	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012193.1	Borrelia burgdorferi 72a plasmid 72a_lp54, complete sequence	linear	53686	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_lp54	72a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012194.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_lp54, complete sequence	linear	54021	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_lp54	CA-11.2A	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012195.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp28-6, complete sequence	linear	29782	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp28-6	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012196.1	Borrelia burgdorferi 64b plasmid 64b_lp28-2, complete sequence	linear	28984	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_lp28-2	64b	NA	NA	rep_cluster_1529	NA	NA	NA	Non-mobilizable
NC_012197.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp28-1, complete sequence	linear	26634	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp28-1	WI91-23	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012198.1	Borrelia burgdorferi WI91-23 plasmid WI91-23_lp56, complete sequence	linear	27581	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	WI91-23_lp56	WI91-23	NA	NA	rep_cluster_1529	NA	NA	NA	Non-mobilizable
NC_012199.1	Borrelia burgdorferi 64b plasmid 64b_lp54, complete sequence	linear	53263	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_lp54	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012200.1	Borreliella spielmanii A14S plasmid A14S_lp17, complete sequence	linear	25308	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella spielmanii	A14S_lp17	A14S	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012201.1	Borrelia burgdorferi 72a plasmid 72a_lp38, complete sequence	linear	27763	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_lp38	72a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012202.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_lp36-28-4, complete sequence	linear	54623	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_lp36-28-4	CA-11.2A	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012203.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_lp56, complete sequence	linear	29418	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_lp56	CA-11.2A	NA	NA	rep_cluster_1529	NA	NA	NA	Non-mobilizable
NC_012204.1	Borreliella valaisiana VS116 plasmid VS116_lp36, complete sequence	linear	23914	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_lp36	VS116	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012208.1	Yersinia enterocolitica plasmid pYe4449-1, complete sequence	circular	4357	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	pYe4449-1	07-04449	NA	NA	ColRNAI_rep_cluster_1992	MOBP	NA	NA	Mobilizable
NC_012209.1	Yersinia enterocolitica plasmid pYe4449-2, complete sequence	circular	14662	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	pYe4449-2	07-04449	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012222.2	Lactobacillus paracasei subsp. paracasei plasmid pSJ2-8, complete sequence	circular	14442	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei	pSJ2-8	BGSJ2-8	NA	NA	NA	MOBP	NA	NA	Mobilizable
NC_012226.1	Brachyspira hyodysenteriae WA1 plasmid pBHWA1, complete sequence	circular	35940	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hyodysenteriae	pBHWA1	"WA1	 ATCC 49526"	NA	NA	rep_cluster_768	NA	NA	NA	Non-mobilizable
NC_012227.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_lp17, complete sequence	linear	18181	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_lp17	CA-11.2A	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012228.1	Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_lp28-3, complete sequence	linear	25799	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	CA-11.2A_lp28-3	CA-11.2A	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012229.1	Borrelia burgdorferi 118a plasmid 118a_lp32-3, complete sequence	linear	17205	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_lp32-3	118a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012230.1	Borreliella finlandensis plasmid SV1_lp28-4, complete sequence	linear	36518	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella finlandensis	SV1_lp28-4	SV1	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012231.1	Borrelia burgdorferi 94a plasmid 94a_lp28-3, complete sequence	linear	26181	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	94a_lp28-3	94a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012232.1	Borrelia burgdorferi 118a plasmid 118a_lp38, complete sequence	linear	27759	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_lp38	118a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012233.1	Borrelia burgdorferi 118a plasmid 118a_lp28-6, complete sequence	linear	29233	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_lp28-6	118a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012235.1	Borrelia burgdorferi 94a plasmid 94a_lp28-4, complete sequence	linear	28038	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	94a_lp28-4	94a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012236.1	Borrelia burgdorferi 118a plasmid 118a_lp28-3, complete sequence	linear	28746	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_lp28-3	118a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012237.1	Borrelia burgdorferi 94a plasmid 94a_lp17, complete sequence	linear	18110	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	94a_lp17	94a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012238.1	Borrelia burgdorferi 118a plasmid 118a_lp25, complete sequence	linear	24765	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_lp25	118a	NA	NA	rep_cluster_1858	NA	NA	NA	Non-mobilizable
NC_012240.1	Borrelia burgdorferi 118a plasmid 118a_lp28-4, complete sequence	linear	29802	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_lp28-4	118a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012241.1	Borrelia burgdorferi 118a plasmid 118a_lp54, complete sequence	linear	54027	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_lp54	118a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012242.1	Borreliella finlandensis plasmid SV1_lp17, complete sequence	linear	20219	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella finlandensis	SV1_lp17	SV1	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012243.1	Borrelia burgdorferi 118a plasmid 118a_lp17, complete sequence	linear	18209	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_lp17	118a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012244.1	Borrelia burgdorferi 94a plasmid 94a_lp54, complete sequence	linear	53756	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	94a_lp54	94a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012245.1	Borrelia burgdorferi 118a plasmid 118a_lp36, complete sequence	linear	27241	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_lp36	118a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012246.1	Borrelia burgdorferi 94a plasmid 94a_lp36, complete sequence	linear	28234	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	94a_lp36	94a	NA	NA	rep_cluster_292	NA	NA	NA	Non-mobilizable
NC_012248.1	Borrelia burgdorferi 118a plasmid 118a_lp28-5, complete sequence	linear	27336	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_lp28-5	118a	NA	NA	rep_cluster_292	NA	NA	NA	Non-mobilizable
NC_012249.1	Borrelia burgdorferi 94a plasmid 94a_lp56, complete sequence	linear	21082	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	94a_lp56	94a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012250.1	Borrelia burgdorferi 94a plasmid 94a_cp32-5, complete sequence	circular	29459	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	94a_cp32-5	94a	NA	NA	rep_cluster_1662	NA	NA	NA	Non-mobilizable
NC_012251.1	Borrelia burgdorferi 118a plasmid 118a_cp32-8, complete sequence	circular	30858	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_cp32-8	118a	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_012253.1	Borrelia burgdorferi 118a plasmid 118a_cp32-7-9, complete sequence	circular	60942	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_cp32-7-9	118a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012254.1	Borrelia burgdorferi 94a plasmid 94a_cp32-11, complete sequence	circular	30648	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	94a_cp32-11	94a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012255.1	Borrelia burgdorferi 94a plasmid 94a_cp32-10, complete sequence	circular	30162	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	94a_cp32-10	94a	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_012256.1	Borrelia burgdorferi 118a plasmid 118a_cp9, complete sequence	circular	8692	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	118a_cp9	118a	NA	NA	NA	NA	NA	NA	Non-mobilizable
